Player,Position,Cost,Points,Calc Points,App,Sub,Gls,Ass,MotM,%,Yel,Red,Pass 1,Pass 2,Tack 1,Tack 2,Shot 1,Shot 2,Save 1,Save 2,Cl Sh,Gl Con
"HUDSON-ODOI, C",MID,6.2,0.0,0.0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0
"MOUTINHO, J",MID,8.8,0.0,0.0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0
"JAHANBAKHSH, A",MID,8.3,0.0,0.0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0
"SCHURRLE, A",MID,8.3,0.0,0.0,0,0,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0
"HALFORD, G",DEF,4.4,0.0,0.0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0
"MANGA, E",DEF,5.8,0.0,0.0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0
"CHRISTIE, C",DEF,6.7,0.0,0.0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0
"BOLY, W",DEF,6.1,0.0,0.0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0
"MUTCH, J",MID,5.4,0.0,0.0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0
"LICHTSTEINER, S",DEF,8.4,0.0,0.0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0
"OXFORD, R",DEF,5.0,0.0,0.0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0
"SCHAR, F",DEF,6.9,0.0,0.0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0
"CARGILL, B",DEF,5.3,0.0,0.0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0
"MORRISON, S",DEF,6.0,0.0,0.0,0,0,0,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0
"BENNETT, R",DEF,5.7,0.0,0.0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0
"JENKINSON, C",DEF,6.4,0.0,0.0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0
"OTTO, J",DEF,6.2,0.0,0.0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0
"WICKHAM, C",STR,7.7,0.0,0.0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0
"GREEN, R",GK,5.7,0.0,0.0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
"DJALO, M",DEF,5.2,0.0,0.0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0
FABRI,GK,6.1,0.0,0.0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
"GRANT, L",GK,6.0,0.0,0.0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0
"RICO, D",DEF,7.3,0.0,0.0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
"MARKOVIC, L",MID,6.5,0.0,0.0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0
ALISSON,GK,7.3,0.0,0.0,0,0,0,0,0,11.38,0,0,0,0,0,0,0,0,0,0,0,0
"GUNN, A",GK,6.6,0.0,0.0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
"FOSTER, B",GK,6.3,0.0,0.0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0
"LENO, B",GK,6.8,0.0,0.0,0,0,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0
"SMITHIES, A",GK,6.3,0.0,0.0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0
"PATRICIO, R",GK,6.6,0.0,0.0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0
"CAMP, L",GK,4.9,0.0,0.0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
"TAYLOR, S",GK,5.0,0.0,0.0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
"LEGZDINS, A",GK,5.1,0.0,0.0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0
"MURPHY, B",GK,5.1,0.0,0.0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0
"NORRIS, W",GK,5.2,0.0,0.0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
"SUCCESS, I",STR,6.3,0.0,0.0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0
"FREDERICKS, R",DEF,6.7,0.0,0.0,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0
"MUSA, A",STR,7.3,0.0,0.0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0
"CUNNINGHAM, G",DEF,5.4,0.0,0.0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0
"COADY, C",DEF,6.0,0.0,0.0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0
"CONNOLLY, M",DEF,4.2,0.0,0.0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0
"BENNETT, J",DEF,6.1,0.0,0.0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0
"PEREZ, L",STR,7.7,0.0,0.0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0
"NORWOOD, O",MID,5.2,0.0,0.0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0
"BUTTON, D",GK,5.6,0.0,0.0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0
"BETTINELLI, M",GK,6.2,0.0,0.0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0
"ETHERIDGE, N",GK,6.2,0.0,0.0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
"FOLIVI, M",STR,6.8,0.0,0.0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0
"STANKOVIC, J",DEF,4.9,0.0,0.0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
"GUAITA, V",GK,6.2,0.0,0.0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0
"RUDDY, J",GK,6.4,0.0,0.0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0
"SKALAK, J",MID,5.6,0.0,0.0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0
"PEREIRA, R",DEF,7.6,0.0,0.0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0
"BALBUENA, F",DEF,6.8,0.0,0.0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0
"MAENPAA, N",GK,5.9,0.0,0.0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
"TOWELL, R",MID,5.5,0.0,0.0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0
"STEKELENBURG, M",GK,6.0,0.0,0.0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"LE MARCHAND, M",DEF,6.6,0.0,0.0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"WARD, D",GK,5.7,0.0,0.0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0
"WARD, D",STR,5.7,0.0,0.0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0
"WARD, D",GK,7.1,0.0,0.0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0
"WARD, D",STR,7.1,0.0,0.0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0
"VESTERGAARD, J",DEF,7.5,0.0,0.0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0
"FOYTH, J",DEF,5.5,0.0,0.0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0
"MARTINEZ, T",STR,6.6,0.0,0.0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0
"DURM, E",DEF,7.5,0.0,0.0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0
"MATEJU, A",DEF,5.1,0.0,0.0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0
BERNARDO,DEF,6.5,0.0,0.0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0
"PAPASTATHOPOULOS, S",DEF,8.6,0.0,0.0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0
"MASINA, A",DEF,6.8,0.0,0.0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
"DIOP, I",DEF,6.9,0.0,0.0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0
"OBAFEMI, M",STR,6.0,0.0,0.0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0
"NAVARRO, M",DEF,6.5,0.0,0.0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
"BONATINI, L",STR,8.5,0.0,0.0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0
"DALOT, D",DEF,8.4,0.0,0.0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
"BORUC, A",GK,5.9,0.0,0.0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
"ZOHORE, K",STR,8.4,0.0,0.0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0
"WOODROW, C",STR,6.0,0.0,0.0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0
"GALLAGHER, S",STR,6.8,0.0,0.0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0
"ANDONE, F",STR,7.7,0.0,0.0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0
"MADINE, G",STR,7.4,0.0,0.0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0
"GOUNONGBE, F",STR,6.4,0.0,0.0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0
"MEITE, I",STR,6.0,0.0,0.0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"ENOBAKHARE, B",STR,7.4,0.0,0.0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
"BALOGUN, L",DEF,7.4,0.0,0.0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
"KAMARA, A",STR,7.5,0.0,0.0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0
"FONTE, R",STR,7.0,0.0,0.0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0
"BOGLE, O",STR,7.6,0.0,0.0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
"JIMENEZ, R",STR,7.9,0.0,0.0,0,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0
"AYITE, F",MID,6.7,0.0,0.0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0
